Player,Tm,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Pass Sack,Pass Sack Yds,Pass Long Complete,Ruch Att,Rush Yds,Rush TD,Rush Lng,Rcv Tgt,Rec,Rcv Yds,Rcv TD,Rcv Lng,Fmb,FL,2Pt Conversions,Ttl Pts Allowed,Safety,Blocked Kicks,Sack,Interception,Fumble Recovery,Punt/Kickoff/FG Return for TD,Interception Return TD,Fumble Recovery TD,Blocked Punt or FG Return TD
Kyler Murray,ARI,33,48,321,1,2,4,38,34,4,32,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Carter,ARI,0,0,0,0,0,0,0,0,13,70,0,13,2,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Wilson,ARI,0,0,0,0,0,0,0,0,1,7,0,7,6,4,22,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,4,4,0,2,3,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,0,0,0,0,16,12,123,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Harrison Jr.,ARI,0,0,0,0,0,0,0,0,0,0,0,0,10,6,96,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,0,0,0,0,3,2,23,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Zay Jones,ARI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DeeJay Dallas,ARI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,LAR,17,32,189,0,0,0,0,29,6,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,13,56,1,18,3,3,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Puka Nacua,LAR,0,0,0,0,0,0,0,0,0,0,0,0,14,10,129,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,0,0,0,0,3,1,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Whittington,LAR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Parkinson,LAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis Allen,LAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Corum,LAR,0,0,0,0,0,0,0,0,3,-4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Penix,ATL,19,35,223,1,1,2,12,31,2,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,17,90,2,13,5,3,8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,3,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,1,14,0,14,1,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,0,0,0,0,13,7,106,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,0,0,0,0,5,4,44,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,0,0,0,0,5,2,37,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Woerner,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Blair,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayden Daniels,WAS,24,36,227,3,1,5,31,37,16,127,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,13,60,0,12,2,2,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rodriguez,WAS,0,0,0,0,0,0,0,0,5,16,1,6,1,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Olamide Zaccheaus,WAS,0,0,0,0,0,0,0,0,1,8,0,8,9,8,85,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
